performance_country,composer,composer_nationality,gender,work,performances
United States,Gounod,France,m,Faust,4
United States,Gounod,France,m,Faust,4
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,5
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,7
United States,Gounod,France,m,Faust,4
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Romeo et Juliette,3
United States,Gounod,France,m,Romeo et Juliette,4
United States,Gounod,France,m,Romeo et Juliette,6
United States,Gounod,France,m,Romeo et Juliette,3
United States,Gounod,France,m,Romeo et Juliette,1
United States,Gounod,France,m,Romeo et Juliette,1
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,3
United States,Gounod,France,m,Romeo et Juliette,4
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,4
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,3
United States,Gounod,France,m,Romeo et Juliette,9
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,3
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,7
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,5
United States,Gounod,France,m,Romeo et Juliette,14
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,2
United States,Gounod,France,m,Romeo et Juliette,6
Venezuela,Gounod,France,m,Faust,2
France,Granados,Spain,m,Goyescas,1
Germany,Granados,Spain,m,Goyescas,13
Italy,Granados,Spain,m,Goyescas,5
Italy,Granados,Spain,m,Goyescas,4
Italy,Granados,Spain,m,Goyescas,6
Spain,Granados,Spain,m,Goyescas,5
Spain,Granados,Spain,m,Goyescas,2
United States,Granados,Spain,m,Goyescas,1
Australia,Grandage,Australia,m,The Riders,8
Australia,Grandage,Australia,m,The Riders,4
United States,Grant,United Kingdom,m,"The Nefarious, Immoral but Highly Profitable Enterprise of Mr Burke and Mr Hare",4
Russia,Grechaninov,Russia,m,Marriage,4
Russia,Grechaninov,Russia,m,Marriage,3
Austria,Gregoretti,Italy,m,La fugitiva,6
Germany,Gregoretti,Italy,m,La fugitiva,5
Italy,Gregoretti,Italy,m,Andante italiano alla belga,3
Italy,Gregoretti,Italy,m,Il colore del sole,1
Italy,Gregoretti,Italy,m,Il colore del sole,2
Italy,Gregoretti,Italy,m,Il Pinocchio (mal)visto dal gatto e la volpe,3
Italy,Gregoretti,Italy,m,Il Pinocchio (mal)visto dal gatto e la volpe,9
Australia,Gretry,France,m,L'Amant jaloux,4
Belgium,Gretry,France,m,Guillaume Tell,5
Belgium,Gretry,France,m,L'officier de fortune,1
Belgium,Gretry,France,m,La Caravane du Caire,1
Belgium,Gretry,France,m,Zemire et Azor,7
France,Gretry,France,m,La Caravane du Caire,1
France,Gretry,France,m,Raoul Barbe-Bleue,1
France,Gretry,France,m,Richard Coeur de Lion,1
France,Gretry,France,m,Richard Coeur de Lion,2
France,Gretry,France,m,Richard Coeur de Lion,2
France,Gretry,France,m,Richard Coeur de Lion,1
Germany,Gretry,France,m,Zemire et Azor,10
Germany,Gretry,France,m,Zemire et Azor,8
United States,Gretry,France,m,L'Epreuve villageoise,2
United States,Gretry,France,m,L'Epreuve villageoise,2
United States,Gretry,France,m,Zemire et Azor,3
United States,Gretry,France,m,Zemire et Azor,7
Germany,Grieg,Norway,m,Erzahl mir von Oma,8
Germany,Grieg,Norway,m,Erzahl mir von Oma,2
Italy,Grimaldi,Italy,m,La macchina,1
Mexico,Groth,Mexico,m,Antonieta,3
Mexico,Groth,Mexico,m,El juego de los insectos,4
Mexico,Groth,Mexico,m,El pequeno principe,3
Austria,Gruber,Austria,m,Geschichten aus dem Wiener Wald,3
Austria,Gruber,Austria,m,Geschichten aus dem Wiener Wald,5
Austria,Gruber,Austria,m,Gloria von Jaxtberg,2
Germany,Gruber,Austria,m,Geschichten aus dem Wiener Wald,5
Germany,Gruber,Austria,m,Geschichten aus dem Wiener Wald,6
United Kingdom,Gruber,Austria,m,Gloria von Jaxtberg,2
United Kingdom,Gruber,Austria,m,Gloria von Jaxtberg,4
United States,Gruber,Austria,m,Frankenstein,1
Germany,Grutter,Germany,m,Orlando,5
Hungary,Gryllus,Hungary,m,Two Women,4
Italy,"Guarnieri,A",Italy,m,Fammi udire la tua voce,3
Italy,"Guarnieri,A",Italy,m,Infinita tenebra di luce,3
Italy,"Guarnieri,A",Italy,m,L'amor che move il sole e l'altre stelle,1
Italy,"Guarnieri,A",Italy,m,L'amor che move il sole e l'altre stelle,2
Brazil,"Guarnieri,C",Brazil,m,Um homem so,6
Denmark,Gudmundsen-Holmgreen,Denmark,m,"Sol gar op, sol gar ned",9
Denmark,Gudmundsson,Iceland,m,Hamlet in Absentia,1
Denmark,Gudmundsson,Iceland,m,Hamlet in Absentia,4
Canada,Guerrero,Spain,m,Los Gavilanes,4
Colombia,Guerrero,Spain,m,Los Gavilanes,3
Colombia,Guerrero,Spain,m,Los Gavilanes,3
Spain,Guerrero,Spain,m,El huesped del sevillano,1
Spain,Guerrero,Spain,m,La rosa del azafran,1
Spain,Guerrero,Spain,m,La rosa del azafran,2
Spain,Guerrero,Spain,m,La rosa del azafran,2
Venezuela,Guerrero,Spain,m,Los Gavilanes,2
Spain,Guinovart,Spain,m,Alba eterna,1
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,5
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,10
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,1
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,3
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,2
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,10
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,2
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,1
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,3
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,4
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,8
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,3
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,1
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,5
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,1
Ukraine,Gulak-Artemovsky,Ukraine,m,Zaporozhets za Dunayem,1
Germany,"Gunther,I",Germany,m,The Black Forest Chainsaw Opera,5
China,Guo,China,m,Rickshaw Boy,2
China,Guo,China,m,Rickshaw Boy,4
Italy,Guo,China,m,Rickshaw Boy,2
Italy,Guo,China,m,Rickshaw Boy,2
Italy,Guo,China,m,Rickshaw Boy,2
Spain,Guridi,Spain,m,El caserio,6
Spain,Guridi,Spain,m,El caserio,2
Spain,Guridi,Spain,m,El caserio,1
Germany,Gurlitt,Germany,m,Soldaten,8
Germany,Gurlitt,Germany,m,Wozzeck,6
Germany,Gurlitt,Germany,m,Wozzeck,7
Austria,"Haas,Georg",Austria,m,Bluthaus,3
Germany,"Haas,Georg",Austria,m,Bluthaus,2
Germany,"Haas,Georg",Austria,m,Koma,4
Germany,"Haas,Georg",Austria,m,Koma,2
Germany,"Haas,Georg",Austria,m,Morgen und Abend,4
Germany,"Haas,Georg",Austria,m,Morgen und Abend,7
Germany,"Haas,Georg",Austria,m,Nocturno,1
Germany,"Haas,Georg",Austria,m,Thomas,3
United Kingdom,"Haas,Georg",Austria,m,Morgen und Abend,5
Czech Republic,Haba,Czech Republic,m,Nova zeme,1
Germany,Haddad,Germany,m,A Wintery Spring,6
Greece,Hadjiapostolou,Greece,m,The Modern Housemaid,1
Bulgaria,Hadjiev,Bulgaria,m,Loud Gidiya,6
Bulgaria,Hadjiev,Bulgaria,m,Loud Gidiya,1
Bulgaria,Hadjiev,Bulgaria,m,Maria Desislava,2
Bulgaria,Hadjiev,Bulgaria,m,Maria Desislava,1
Bulgaria,Hadjiev,Bulgaria,m,The Golden Apple,8
