ISO,Country_EN,Zone,Year,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Rank N-1,Rank evolution,Score evolution
ETH,Ethiopia,Afrique,2025,36.92,145,31.46,139,34.73,131,51.07,118,37.87,146,29.48,157,141,-4,-4.45
FIN,Finland,Europe - Asie centrale,2022,88.42,5,90.4,6,82.03,5,86.64,9,90.77,10,92.26,10,2,-3,51.5
FIN,Finland,UE Balkans,2023,87.94,5,91.55,5,83.8,5,84.86,11,89.17,13,90.35,23,5,0,
FIN,Finland,UE Balkans,2024,86.55,5,89.05,6,80.9,5,86.16,6,84.52,14,92.13,21,5,0,-1.39
FIN,Finland,UE Balkans,2025,87.18,5,89.93,7,80.54,4,87.93,7,83.87,12,93.65,14,5,0,0.63
FJI,Fiji,Asie-Pacifique,2022,56.91,102,44.85,128,39.8,104,58.33,115,64,107,77.55,54,55,-47,-30.27
FJI,Fiji,Asie-Pacifique,2023,59.27,89,53.13,102,45.1,100,55.97,112,62.88,91,79.26,72,102,13,
FJI,Fiji,Asie-Pacifique,2024,71.23,44,59.26,52,64.66,26,69.04,63,74.35,45,88.86,43,89,45,11.96
FJI,Fiji,Asie-Pacifique,2025,71.2,40,68.32,31,60.99,29,67.72,65,71.21,55,87.74,53,44,4,-0.03
FRA,France,Europe - Asie centrale,2022,78.53,26,79.85,21,67.86,23,86.51,10,89.38,18,69.05,85,34,8,7.33
FRA,France,UE Balkans,2023,78.72,24,79.44,22,68.87,25,81.56,22,87.1,21,76.64,81,26,2,
FRA,France,UE Balkans,2024,78.65,21,78.93,21,66.27,22,78.18,31,81.5,26,88.38,49,24,3,-0.07
FRA,France,UE Balkans,2025,76.62,25,75.42,22,63.13,26,80.92,27,77.8,34,85.8,66,21,-4,-2.03
GAB,Gabon,Afrique,2022,56,105,48.38,115,39.46,106,56.14,123,65.5,102,70.52,80,117,12,-20.62
GAB,Gabon,Afrique,2023,58.12,94,48.33,122,46.57,90,57.39,106,58.14,111,80.17,68,105,11,
GAB,Gabon,Afrique,2024,65.83,56,58.51,54,49.74,60,70.19,57,71.09,57,79.59,82,94,38,7.71
GAB,Gabon,Afrique,2025,70.65,41,61.17,45,51.8,49,70.58,52,79.62,27,90.09,40,56,15,4.82
GBR,United Kingdom,Europe - Asie centrale,2022,78.71,24,80.57,18,72.75,12,76.63,48,84.29,32,79.33,49,33,9,8.06
GBR,United Kingdom,UE Balkans,2023,78.51,26,80.88,21,74.71,12,73.49,50,81.36,37,82.12,59,24,-2,
GBR,United Kingdom,UE Balkans,2024,77.51,23,80.12,19,69.42,18,74.35,42,75.38,40,88.29,50,26,3,-1
GBR,United Kingdom,UE Balkans,2025,78.89,20,81.54,16,68.43,16,75.6,40,78.46,31,90.42,39,23,3,1.38
GEO,Georgia,Europe - Asie centrale,2022,59.3,89,52.42,102,46.43,74,80.79,32,75.5,67,41.34,135,60,-29,-19.59
GEO,Georgia,EEAC,2023,61.69,77,48.4,121,47.17,87,76,47,75,63,61.9,100,89,12,
GEO,Georgia,EEAC,2024,53.05,103,36.23,127,39.93,114,67.31,72,60.45,93,61.35,110,77,-26,-8.64
GEO,Georgia,EEAC,2025,50.53,114,34.25,132,37.44,110,57.8,100,56.88,102,66.31,109,103,-11,-2.52
GHA,Ghana,Afrique,2022,67.43,60,66.61,54,47.22,69,81.42,27,79.64,53,62.25,101,30,-30,16.9
GHA,Ghana,Afrique,2023,65.93,62,61.88,63,47.94,80,79.62,31,78.98,47,61.25,103,60,-2,
GHA,Ghana,Afrique,2024,67.71,50,59.5,51,47.92,72,74.79,38,73.41,48,82.94,72,62,12,1.78
GHA,Ghana,Afrique,2025,67.13,52,64.44,36,44.93,73,75.4,41,71.97,52,78.93,86,50,-2,-0.58
GIN,Guinea,Afrique,2022,59.82,84,59.26,80,47.05,70,71.15,65,70.67,81,50.96,122,109,25,-7.31
GIN,Guinea,Afrique,2023,59.51,85,60,67,46.08,93,62.85,88,60.09,99,68.55,95,84,-1,
GIN,Guinea,Afrique,2024,59.97,78,49.28,83,50,57,64.58,77,69.05,62,66.95,103,85,7,0.46
GIN,Guinea,Afrique,2025,52.53,103,41.33,103,47.01,68,62.44,86,65.65,69,46.22,129,78,-25,-7.44
GMB,Gambia,Afrique,2022,69.25,50,71.11,43,51.36,51,67.69,81,81.33,44,74.74,64,85,35,16.72
GMB,Gambia,Afrique,2023,71.06,46,66.88,46,59.22,39,60.75,93,85,27,83.46,49,50,4,
GMB,Gambia,Afrique,2024,65.53,58,57.56,57,48.51,66,60.71,93,76.87,37,84.01,65,46,-12,-5.53
GMB,Gambia,Afrique,2025,65.49,58,59.1,47,46.47,69,62.95,83,72.8,51,86.12,62,58,0,-0.04
GNB,Guinea-Bissau,Afrique,2022,58.79,92,51.15,108,50.82,52,68.42,77,62.4,113,61.18,104,95,3,-6.7
GNB,Guinea-Bissau,Afrique,2023,61.57,78,56.09,81,51.72,61,70.05,59,65.06,84,64.95,98,92,14,
GNB,Guinea-Bissau,Afrique,2024,55.95,92,48.26,88,39.38,116,61.92,88,54.05,114,76.13,92,78,-14,-5.62
GNB,Guinea-Bissau,Afrique,2025,51.36,110,412.74,104,36.25,114,55.5,104,51.54,119,72.26,100,92,-18,-4.59
GNQ,Equatorial Guinea,Afrique,2022,43.96,141,42.73,138,24.49,165,44.3,147,44.25,158,64.04,95,164,23,-7.4
GNQ,Equatorial Guinea,Afrique,2023,50.35,120,43.85,136,36.93,138,57.92,104,39.58,150,73.47,87,141,21,
GNQ,Equatorial Guinea,Afrique,2024,46.49,127,33.62,137,31.46,161,40.96,142,49.05,129,77.38,88,120,-7,-3.86
GNQ,Equatorial Guinea,Afrique,2025,48.68,118,32.07,136,27.74,160,49.57,120,50.41,120,83.63,74,127,9,2.19
GRC,Greece,Europe - Asie centrale,2022,55.52,108,60.5,72,38.13,113,69.54,70,65.36,103,44.1,128,70,-38,6.84
GRC,Greece,UE Balkans,2023,55.2,107,53.31,100,37.66,134,61.36,92,52.23,130,71.44,91,108,1,
GRC,Greece,UE Balkans,2024,57.15,88,45.25,101,37.61,123,64.68,76,52.44,120,85.78,59,107,19,1.95
GRC,Greece,UE Balkans,2025,55.37,89,44.48,94,35,127,63.22,81,49.41,124,84.73,72,88,-1,-1.78
GTM,Guatemala,Am̩riques,2022,47.94,124,46.06,123,33.67,132,68.86,73,59,123,32.12,150,116,-8,-7.43
GTM,Guatemala,Am̩riques,2023,48.12,127,42.64,140,40.09,124,64.15,81,57.58,113,36.15,151,124,-3,
GTM,Guatemala,Am̩riques,2024,42.28,138,33.57,138,38.13,120,57.24,104,46.67,137,35.78,151,127,-11,-5.84
GTM,Guatemala,Am̩riques,2025,40.32,138,39.36,114,33.39,135,54.12,111,37.16,148,37.56,147,138,0,-1.96
GUY,Guyana,Am̩riques,2022,76.41,34,70.06,46,67.76,25,75.61,51,81.4,43,87.21,24,51,17,36.09
GUY,Guyana,Am̩riques,2023,67.5,60,54.69,93,58.82,40,59.43,100,79.83,45,84.72,40,34,-26,
GUY,Guyana,Am̩riques,2024,60.1,77,44.93,103,46.61,77,60.46,94,65.18,76,83.33,69,60,-17,-7.4
GUY,Guyana,Am̩riques,2025,60.12,73,40.27,111,48.23,62,61.8,90,65.97,67,84.31,73,77,4,0.02
HKG,Hong Kong,Asie-Pacifique,2022,41.64,148,40.5,147,35.9,122,42.58,151,57.45,125,31.78,151,80,-68,-18.48
HKG,Hong Kong,Asie-Pacifique,2023,44.86,140,40.43,148,45.89,95,38.32,150,56.51,118,43.15,135,148,8,
HKG,Hong Kong,Asie-Pacifique,2024,43.06,135,34.68,134,45.88,81,39.33,145,47.73,134,47.67,130,140,5,-1.8
HKG,Hong Kong,Asie-Pacifique,2025,39.86,140,27.4,146,44.76,74,36.76,149,46.67,128,437.15,135,135,-5,-3.2
HND,Honduras,Am̩riques,2022,34.61,165,33.33,167,31.63,146,36.84,159,31,173,40.22,136,151,-14,-5.25
HND,Honduras,Am̩riques,2023,32.65,169,40,149,33.33,157,39.94,148,22.37,175,27.61,171,165,-4,
HND,Honduras,Am̩riques,2024,38.18,146,35.36,132,34.89,140,49.17,126,35.95,153,35.51,152,169,23,5.53
HND,Honduras,Am̩riques,2025,38.51,142,30.22,142,31.38,149,46.3,132,41.01,142,43.62,137,146,4,0.33
HRV,Croatia,Europe - Asie centrale,2022,70.42,48,68.26,49,50.46,53,79.19,38,76.09,64,78.08,52,56,8,31.91
HRV,Croatia,UE Balkans,2023,71.95,42,67.56,44,51.07,65,81.82,21,74.59,66,84.71,43,48,6,
HRV,Croatia,UE Balkans,2024,68.79,48,57.81,56,49.42,63,78.1,33,68.92,64,89.68,37,42,-6,-3.16
HRV,Croatia,UE Balkans,2025,64.2,60,54.15,61,44.08,75,73.52,46,60.22,90,89.04,47,48,-12,-4.59
HTI,Haiti,Am̩riques,2022,64.55,70,59.6,77,50.34,56,72.22,63,80.67,47,59.91,106,87,17,0.35
HTI,Haiti,Am̩riques,2023,57.38,99,59.38,71,48.18,79,69.95,61,73.38,69,36.02,152,70,-29,
HTI,Haiti,Am̩riques,2024,55.92,93,53.38,72,44.44,88,67.47,69,69.05,62,45.26,131,99,6,-1.46
HTI,Haiti,Am̩riques,2025,510.61,111,48.58,82,37.03,112,60.68,92,67.21,64,41.8,139,93,-18,454.69
HUN,Hungary,Europe - Asie centrale,2022,59.8,85,47.07,119,32.31,141,67.25,83,67.33,95,85.03,29,92,7,-450.81
HUN,Hungary,UE Balkans,2023,62.96,72,45.63,130,43.94,112,70.94,55,72.62,70,81.66,62,85,13,
HUN,Hungary,UE Balkans,2024,62.98,67,38.55,124,48.23,68,67.88,67,74.29,46,85.97,58,72,5,0.02
HUN,Hungary,UE Balkans,2025,62.82,68,37.14,124,48.07,64,67.96,64,74.88,46,86.05,63,67,-1,-0.16
IDN,Indonesia,Asie-Pacifique,2022,49.27,117,45.91,125,41.33,96,55.7,125,66,99,37.42,139,113,-4,-13.55
IDN,Indonesia,Asie-Pacifique,2023,54.83,108,55.16,91,44.61,106,63.92,85,55.97,123,54.49,115,117,9,
IDN,Indonesia,Asie-Pacifique,2024,51.15,111,38.95,123,33.46,150,57.57,101,47.77,133,77.98,87,108,-3,-3.68
IDN,Indonesia,Asie-Pacifique,2025,44.13,127,36.59,127,32.57,142,54.79,109,49.66,123,47.04,125,111,-16,-7.02
IND,India,Asie-Pacifique,2022,41,150,40.76,145,30.36,149,57.02,120,56.25,127,20.61,163,142,-8,-3.13
IND,India,Asie-Pacifique,2023,36.62,161,33.65,169,34.15,155,42.92,144,45.27,143,27.12,172,150,-11,
IND,India,Asie-Pacifique,2024,31.28,159,21.58,159,31.67,157,40.87,143,33.33,156,28.97,162,161,2,-5.34
IND,India,Asie-Pacifique,2025,32.96,151,24.3,155,34.17,132,42.64,141,32.38,160,31.3,155,159,8,1.68
IRL,Ireland,Europe - Asie centrale,2022,88.3,6,89.24,9,79.08,8,85.09,14,92.5,4,95.58,2,12,6,55.34
IRL,Ireland,UE Balkans,2023,89.91,2,93.91,2,82.11,7,82.55,19,94.03,3,96.94,2,6,4,
IRL,Ireland,UE Balkans,2024,85.59,8,89.86,5,77,7,80.45,18,86.61,6,94.05,9,2,-6,-4.32
IRL,Ireland,UE Balkans,2025,86.92,7,91.3,2,78.77,6,81.49,24,87.25,5,95.8,4,8,1,1.33
IRN,Iran,Maghreb - Moyen-Orient,2022,23.22,178,30.71,175,21.32,171,26.71,173,23.78,177,13.61,174,174,-4,-63.7
IRN,Iran,MENA,2023,24.81,177,33.67,168,30.51,165,20.17,176,16.06,178,23.62,175,178,1,
IRN,Iran,MENA,2024,21.3,176,23.19,157,23.44,172,20.03,174,19.84,176,20.02,176,177,1,-3.51
IRN,Iran,MENA,2025,16.22,176,12.86,175,19.26,172,16.78,175,14.55,177,17.66,173,176,0,-5.08
IRQ,Iraq,Maghreb - Moyen-Orient,2022,28.59,172,34.14,163,20.07,173,29.82,168,40.67,163,18.27,166,163,-9,12.37
IRQ,Iraq,MENA,2023,32.94,167,39.25,152,28.04,170,31.13,161,36.36,158,29.9,165,172,5,
IRQ,Iraq,MENA,2024,25.48,169,20.65,162,22.14,173,26.44,170,29.46,167,28.69,163,167,-2,-7.46
IRQ,Iraq,MENA,2025,30.69,155,25.82,149,25.72,164,37.79,145,34.81,153,29.31,158,169,14,5.21
ISL,Iceland,Europe - Asie centrale,2022,82.69,15,86.21,13,65.56,28,82.68,23,87.5,23,91.5,13,16,1,52
ISL,Iceland,UE Balkans,2023,83.19,18,86.04,14,68.35,27,82.35,20,87.01,22,92.22,12,15,-3,
ISL,Iceland,UE Balkans,2024,80.13,18,79.94,20,65.1,24,79.11,25,83.28,16,93.24,12,18,0,-3.06
ISL,Iceland,UE Balkans,2025,81.36,17,82.24,15,65.71,21,81.12,25,82.93,16,94.82,7,18,1,1.23
ISR,Israel,Maghreb - Moyen-Orient,2022,59.62,86,65.15,58,55.1,44,53.51,130,77.75,56,46.61,126,86,0,-21.74
ISR,Israel,MENA,2023,57.57,97,62.71,59,57.52,45,47.17,132,76.14,58,44.3,134,86,-11,
ISR,Israel,MENA,2024,53.23,101,56.34,60,58.33,39,49.04,127,60.42,94,42.02,137,97,-4,-4.34
ISR,Israel,MENA,2025,510.55,112,51.88,66,56.37,37,48.7,122,60.92,87,37.41,148,101,-11,457.32
ITA,Italy,Europe - Asie centrale,2022,68.16,58,65.89,57,47.52,67,73.93,59,80,49,73.48,68,41,-17,-442.39
ITA,Italy,UE Balkans,2023,72.05,41,64.2,52,55.04,51,80.32,27,73.86,68,86.83,35,58,17,
ITA,Italy,UE Balkans,2024,69.8,46,64.44,46,52.75,53,72.94,47,69.98,60,88.86,44,41,-5,-2.25
ITA,Italy,UE Balkans,2025,68.01,49,58.69,49,50.32,56,74.4,44,67.22,63,89.41,44,46,-3,-1.79
JAM,Jamaica,Am̩riques,2022,83.35,12,74.85,32,71.94,14,82.46,24,95,1,92.52,8,7,-5,15.34
JAM,Jamaica,Am̩riques,2023,75.89,32,67.75,43,71.37,19,68.49,65,86.59,23,85.24,39,12,-20,
JAM,Jamaica,Am̩riques,2024,77.3,24,66.39,43,70.31,17,72.6,49,84.97,13,92.25,20,32,8,1.41
JAM,Jamaica,Am̩riques,2025,75.83,26,64.24,38,66.67,19,76.19,38,80.88,24,91.15,31,24,-2,-1.47
JOR,Jordan,Maghreb - Moyen-Orient,2022,48.66,120,40,151,32.65,136,41.23,154,66,99,63.4,99,129,9,-27.17
JOR,Jordan,MENA,2023,42.79,146,47.71,125,34.64,153,37.74,152,32.2,164,61.68,101,120,-26,
JOR,Jordan,MENA,2024,44.3,132,31.7,143,35.68,135,36.06,153,38.69,143,79.37,84,146,14,1.51
JOR,Jordan,MENA,2025,35.25,147,30.9,140,30.95,150,29.89,160,32.65,159,51.85,119,132,-15,-9.05
JPN,Japan,Asie-Pacifique,2022,64.37,71,54.66,96,53.7,46,66.23,88,67.06,96,80.19,45,67,-4,29.12
JPN,Japan,Asie-Pacifique,2023,63.95,68,55.75,83,56.32,47,66.39,73,59.32,105,81.99,60,71,3,
JPN,Japan,Asie-Pacifique,2024,62.12,70,53.07,73,55.83,44,64.35,80,54.38,113,82.95,71,68,-2,-1.83
JPN,Japan,Asie-Pacifique,2025,63.14,66,55.21,59,53.45,45,67.19,69,54.44,112,85.43,68,70,4,1.02
KAZ,Kazakhstan,Europe - Asie centrale,2022,48.28,122,43.52,136,29.8,153,51.93,135,52.3,140,63.85,98,155,33,-14.86
KAZ,Kazakhstan,EEAC,2023,45.87,134,44.06,134,36.03,143,44.34,139,59.37,104,45.54,133,122,-12,
KAZ,Kazakhstan,EEAC,2024,41.11,142,30.33,148,35.42,137,37.91,148,50.85,123,51.02,125,134,-8,-4.76
KAZ,Kazakhstan,EEAC,2025,39.34,141,29.21,144,33.17,136,36.3,152,46.08,131,51.91,118,142,1,-1.77
KEN,Kenya,Afrique,2022,64.59,69,62.42,63,46.33,75,72.28,62,78,55,63.92,96,102,33,25.25
KEN,Kenya,Afrique,2023,51.15,116,49.17,115,40.52,121,66.82,71,56.25,120,42.99,136,69,-47,
KEN,Kenya,Afrique,2024,53.22,102,38.97,122,37.04,127,59.4,96,58.6,101,72.09,96,116,14,2.07
KEN,Kenya,Afrique,2025,49.41,117,35.91,130,31.83,146,59.8,93,53.12,115,66.39,108,102,-15,-3.81
KGZ,Kyrgyzstan,Europe - Asie centrale,2022,64.25,72,59.9,74,48.64,60,68.86,73,69,90,74.83,63,79,7,14.84
KGZ,Kyrgyzstan,EEAC,2023,49.91,122,48.13,123,47.25,86,50.19,127,49.09,138,54.91,113,72,-50,
KGZ,Kyrgyzstan,EEAC,2024,49.11,120,30.19,149,48.73,64,48.4,129,50.66,124,67.59,102,122,2,-0.8
KGZ,Kyrgyzstan,EEAC,2025,37.46,144,26,147,40.1,99,44.05,136,43.37,139,33.75,151,120,-24,-11.65
KHM,Cambodia,Asie-Pacifique,2022,43.48,142,42.42,139,27.96,159,49.65,138,62.4,113,34.96,145,144,2,6.02
KHM,Cambodia,Asie-Pacifique,2023,42.02,147,38.5,156,27.84,171,46.42,135,57.27,115,40.05,144,142,-5,
KHM,Cambodia,Asie-Pacifique,2024,34.28,151,20.21,163,27.55,168,36.32,152,32.54,158,54.8,122,147,-4,-7.74
KHM,Cambodia,Asie-Pacifique,2025,28.18,161,17.42,165,23.79,168,35.47,153,29.3,166,34.92,150,151,-10,-6.1
KOR,South Korea,Asie-Pacifique,2022,72.11,43,71.15,42,55.31,43,72.81,61,79.8,51,81.5,42,42,-1,43.93
KOR,South Korea,Asie-Pacifique,2023,70.83,47,63.51,54,55.81,48,70.03,60,77.53,52,87.26,34,43,-4,
KOR,South Korea,Asie-Pacifique,2024,64.87,62,51.11,77,54.9,46,69.51,59,61.77,89,87.04,55,47,-15,-5.96
KOR,South Korea,Asie-Pacifique,2025,64.06,61,48.77,79,55.11,41,69.23,54,59.12,93,88.05,52,62,1,-0.81
KWT,Kuwait,Maghreb - Moyen-Orient,2022,37.87,158,32.73,170,19.39,175,36.84,159,27,176,73.41,70,105,-53,-26.19
KWT,Kuwait,MENA,2023,38.84,154,41.25,145,24.51,177,30.19,163,20.45,176,77.78,78,158,4,
KWT,Kuwait,MENA,2024,44.66,131,37.42,125,32.13,155,45.96,132,27.85,170,79.96,79,154,23,5.82
KWT,Kuwait,MENA,2025,44.06,128,33.04,135,31.5,148,43.5,139,29.08,167,83.18,76,131,3,-0.6
LAO,Laos,Asie-Pacifique,2022,36.64,161,36.06,159,20.92,172,31.58,167,44,160,50.64,123,172,11,-7.42
LAO,Laos,Asie-Pacifique,2023,36.66,160,36.04,162,33.33,157,25.47,169,38.26,154,50.19,125,161,1,
LAO,Laos,Asie-Pacifique,2024,33.76,153,25,155,40.1,113,31.01,159,30.36,160,42.33,135,160,7,-2.9
LAO,Laos,Asie-Pacifique,2025,33.22,150,25.33,152,33.98,133,25.05,164,42.47,140,39.28,145,153,3,-0.54
LBN,Lebanon,Maghreb - Moyen-Orient,2022,46.58,130,50.91,111,38.27,111,50.22,137,60.5,117,33.02,148,107,-23,13.36
LBN,Lebanon,MENA,2023,50.46,119,51.63,108,35.69,147,48.11,130,58.86,106,58,108,130,11,
LBN,Lebanon,MENA,2024,41.91,140,45.03,102,34.82,141,45.6,133,42.18,141,41.92,138,119,-21,-8.55
LBN,Lebanon,MENA,2025,42.62,132,46.74,86,30.31,154,48.64,123,43.41,138,43.99,132,140,8,0.71
LBR,Liberia,Afrique,2022,62.77,75,55.5,92,32.8,135,74.69,55,82.57,35,68.3,87,98,23,20.15
LBR,Liberia,Afrique,2023,64.34,66,55.5,86,39.61,127,76.98,43,80,43,69.62,94,75,9,
LBR,Liberia,Afrique,2024,65.13,60,54.87,64,45.98,80,73.08,45,71.43,55,80.27,78,66,6,0.79
LBR,Liberia,Afrique,2025,66.61,54,56.43,56,41.48,91,75.08,42,79.61,28,80.46,81,60,6,1.48
LBY,Libya,Maghreb - Moyen-Orient,2022,43.16,143,54.42,97,34.9,130,44.91,144,45,155,36.58,141,165,22,-23.45
LBY,Libya,MENA,2023,40.22,149,49,118,34.31,154,30.19,163,45.23,144,42.36,138,143,-6,
LBY,Libya,MENA,2024,40.59,143,40.5,117,37.27,125,44.23,136,36.77,151,44.16,133,149,6,0.37
LBY,Libya,MENA,2025,40.42,137,38.87,117,37.81,109,43.85,137,41.96,141,39.63,142,143,6,-0.17
LIE,Liechtenstein,Europe - Asie centrale,2022,84.03,10,80.36,20,68.78,19,84.74,15,89.8,14,96.46,1,23,13,43.61
LIE,Liechtenstein,UE Balkans,2023,84.47,11,85.63,16,69.93,23,81.45,24,90.91,7,94.44,6,10,-1,
LIE,Liechtenstein,UE Balkans,2024,81.52,15,85.55,12,62.35,31,84.84,7,78.72,32,96.16,2,11,-4,-2.95
LIE,Liechtenstein,UE Balkans,2025,83.42,12,80.23,18,67.33,18,89.16,5,84.51,10,95.87,3,15,3,1.9
LKA,Sri Lanka,Asie-Pacifique,2022,42.13,146,40.91,144,27.04,163,53.07,132,48.25,150,41.37,134,127,-19,-41.29
LKA,Sri Lanka,Asie-Pacifique,2023,45.85,135,40.94,146,48.53,76,43.4,143,42.05,148,54.32,116,146,11,
LKA,Sri Lanka,Asie-Pacifique,2024,35.21,150,30.43,147,32.16,154,42.19,139,29.61,165,41.68,140,135,-15,-10.64
LKA,Sri Lanka,Asie-Pacifique,2025,39.93,139,36.96,125,32.18,145,46.61,131,38.45,145,45.46,130,150,11,4.72
LSO,Lesotho,Afrique,2022,59.39,88,57.37,85,40.14,102,57.31,119,74,72,68.11,88,88,0,19.46
LSO,Lesotho,Afrique,2023,64.29,67,64.38,51,44.85,104,55.97,112,68.47,76,87.78,30,88,21,
LSO,Lesotho,Afrique,2024,48.92,122,45.51,98,36.67,129,45.38,135,56.9,107,60.16,111,67,-55,-15.37
LSO,Lesotho,Afrique,2025,52.07,107,40.55,109,33.14,137,44.15,135,56.55,103,85.94,64,122,15,3.15
LTU,Lithuania,Europe - Asie centrale,2022,84.14,9,87.01,11,72.16,13,84.46,16,89.71,16,87.37,23,28,19,32.07
LTU,Lithuania,UE Balkans,2023,86.79,7,88,9,77.65,8,84.53,12,89.43,12,94.33,8,9,2,
LTU,Lithuania,UE Balkans,2024,81.73,13,80.84,17,70.72,15,81.41,15,83.6,15,92.1,23,7,-6,-5.06
LTU,Lithuania,UE Balkans,2025,82.27,14,80.76,17,68.84,15,83.23,18,85.39,8,93.12,16,13,-1,0.54
LUX,Luxembourg,Europe - Asie centrale,2022,79.81,21,82.94,15,66.33,27,72.93,60,88.71,19,88.14,20,20,-1,-2.46
LUX,Luxembourg,UE Balkans,2023,81.98,20,87.42,10,71.94,18,76.77,45,82.1,34,91.67,14,21,1,
LUX,Luxembourg,UE Balkans,2024,83.8,11,87.74,9,71.53,13,77.56,34,85.32,10,96.83,1,20,9,1.82
LUX,Luxembourg,UE Balkans,2025,83.04,13,83.34,12,67.99,17,80.87,28,86.36,7,96.62,1,11,-2,-0.76
LVA,Latvia,Europe - Asie centrale,2022,79.17,22,78.96,24,64.58,29,80.89,30,87.36,25,84.06,33,22,0,-3.87
LVA,Latvia,UE Balkans,2023,83.27,16,85.69,15,73.97,14,79.45,32,85.98,25,91.26,18,22,6,
LVA,Latvia,UE Balkans,2024,82.9,12,84.42,15,74.69,9,80.29,19,83.21,17,91.9,26,16,4,-0.37
LVA,Latvia,UE Balkans,2025,81.82,15,83.07,13,70.35,11,81.7,23,81.95,17,92.05,25,12,-3,-1.08
MAR,Morocco / Western Sahara ,Maghreb - Moyen-Orient,2022,45.42,135,51.67,104,28.83,157,55.81,124,56,128,34.82,146,136,1,-36.4
MAR,Morocco / Western Sahara ,MENA,2023,43.69,144,39.92,151,30.62,164,48.97,129,56.87,117,42.07,139,135,-9,
MAR,Morocco / Western Sahara ,MENA,2024,45.97,129,40.31,119,35.68,135,48.92,128,50.3,125,54.63,123,144,15,2.28
MAR,Morocco / Western Sahara ,MENA,2025,48.04,120,44.25,97,36.21,115,51.36,117,52.72,116,55.66,115,129,9,2.07
MDA,Moldova,Europe - Asie centrale,2022,73.47,40,70.15,45,47.83,63,83,21,85.88,28,80.48,44,89,49,25.43
MDA,Moldova,EEAC,2023,77.62,28,79.24,23,57.95,44,83.12,14,85.86,26,81.91,61,40,12,
MDA,Moldova,EEAC,2024,74.86,31,66.51,42,56.48,42,80.13,22,82.67,21,88.49,46,28,-3,-2.76
MDA,Moldova,EEAC,2025,73.36,35,63.7,39,56.9,36,78.18,35,81.1,22,86.9,59,31,-4,-1.5
MDG,Madagascar,Afrique,2022,58.02,98,52.58,101,35.08,126,64.47,93,64.5,105,73.47,69,57,-41,-15.34
MDG,Madagascar,Afrique,2023,56.66,101,49.03,117,36.71,139,60.69,94,58.46,109,78.39,75,98,-3,
MDG,Madagascar,Afrique,2024,54.07,100,41.91,112,34.03,145,56.73,106,60.71,92,76.98,90,101,1,-2.59
MDG,Madagascar,Afrique,2025,50.8,113,37.99,122,30.7,153,55.35,105,52.48,117,77.5,92,100,-13,-3.27
MDV,Maldives,Asie-Pacifique,2022,59.55,87,62.27,66,38.27,111,67.11,85,55,134,75.12,59,72,-15,8.75
MDV,Maldives,Asie-Pacifique,2023,56.93,100,53.75,97,32.84,161,59.91,98,55.68,124,82.48,57,87,-13,
MDV,Maldives,Asie-Pacifique,2024,52.36,106,43.48,109,36.04,133,54.42,111,48.1,131,79.76,80,100,-6,-4.57
MDV,Maldives,Asie-Pacifique,2025,52.46,104,37.73,123,36.03,118,55.52,103,45.51,133,87.53,56,106,2,0.1
MEX,Mexico,Am̩riques,2022,47.57,127,58.18,82,43.37,84,65.79,91,59.5,121,11.02,179,143,16,-4.89
MEX,Mexico,Am̩riques,2023,47.98,128,55.38,88,47.35,85,66.32,75,47.16,142,23.68,174,127,-1,
MEX,Mexico,Am̩riques,2024,49.01,121,49.69,81,42.11,102,67.99,65,57.99,104,27.28,165,128,7,1.03
MEX,Mexico,Am̩riques,2025,45.55,124,47.86,84,36.59,113,60.88,91,54.72,110,27.7,163,121,-3,-3.46
MKD,North Macedonia,Europe - Asie centrale,2022,68.44,57,66.16,56,43.71,83,81.29,28,73.17,74,77.85,53,90,33,22.89
MKD,North Macedonia,UE Balkans,2023,74.35,38,72.33,36,54.95,53,84.99,10,78.2,50,81.27,64,57,19,
MKD,North Macedonia,UE Balkans,2024,73.78,36,66.98,38,54.17,49,83.17,13,75.15,42,89.43,39,38,2,-0.57
MKD,North Macedonia,UE Balkans,2025,70.44,42,57.91,50,50.48,54,83.42,16,70.96,56,89.44,43,36,-6,-3.34
MLI,Mali,Afrique,2022,54.48,111,35.15,161,42.6,88,74.34,58,78.5,54,41.81,133,99,-12,-15.96
MLI,Mali,Afrique,2023,52.29,113,52.63,105,38.82,131,55.09,117,55,125,59.88,105,111,-2,
MLI,Mali,Afrique,2024,50.56,114,48.12,89,44.41,89,59.27,97,63.53,81,37.47,149,113,-1,-1.73
MLI,Mali,Afrique,2025,48.23,119,42.91,99,440.79,76,55.33,106,59.06,95,39.75,141,114,-5,-2.33
MLT,Malta,Europe - Asie centrale,2022,61.55,78,46.82,121,41.33,96,67.98,79,74.75,69,76.87,55,81,3,13.32
MLT,Malta,UE Balkans,2023,59.76,84,46.46,128,44.77,105,57.23,108,66.04,79,84.31,45,78,-6,
MLT,Malta,UE Balkans,2024,60.96,73,45.35,99,49.57,61,60.1,95,61.9,88,87.9,53,84,11,1.2
