IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,659,COUNTRY,PUBLISHED,Maternal mortality ratio,Saint Kitts and Nevis,73.51600924,35.66463464,118.1289903
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,662,COUNTRY,PUBLISHED,Maternal mortality ratio,Saint Lucia,43.96010989,25.61718257,77.19010716
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,670,COUNTRY,PUBLISHED,Maternal mortality ratio,Saint Vincent and the Grenadines,55.83509448,31.89304977,87.26286615
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,674,COUNTRY,PUBLISHED,Maternal mortality ratio,San Marino,7.656993442,3.19404953,15.93472217
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,678,COUNTRY,PUBLISHED,Maternal mortality ratio,Sao Tome and Principe,75.3639749,41.75139629,137.7529511
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,682,COUNTRY,PUBLISHED,Maternal mortality ratio,Saudi Arabia,7.358411304,4.87056833,11.12577023
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,686,COUNTRY,PUBLISHED,Maternal mortality ratio,Senegal,237.4420892,172.5496747,365.201785
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,688,COUNTRY,PUBLISHED,Maternal mortality ratio,Serbia,10.73850259,7.740957404,16.18174532
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,690,COUNTRY,PUBLISHED,Maternal mortality ratio,Seychelles,41.89188388,25.94689842,64.35551787
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,694,COUNTRY,PUBLISHED,Maternal mortality ratio,Sierra Leone,353.5635563,249.2153907,537.022348
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,702,COUNTRY,PUBLISHED,Maternal mortality ratio,Singapore,6.121237998,3.936179894,10.58381581
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,703,COUNTRY,PUBLISHED,Maternal mortality ratio,Slovakia,4.47117441,2.550566406,6.919328905
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,704,COUNTRY,PUBLISHED,Maternal mortality ratio,Viet Nam,47.61027563,31.49981624,69.39279059
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,705,COUNTRY,PUBLISHED,Maternal mortality ratio,Slovenia,3.328467629,1.978740334,5.634997386
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,706,COUNTRY,PUBLISHED,Maternal mortality ratio,Somalia,562.5848149,243.9389822,1088.548546
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,710,COUNTRY,PUBLISHED,Maternal mortality ratio,South Africa,117.5665428,92.47478267,136.8338785
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,716,COUNTRY,PUBLISHED,Maternal mortality ratio,Zimbabwe,357.6149794,235.5133509,484.2111457
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,724,COUNTRY,PUBLISHED,Maternal mortality ratio,Spain,2.722749905,2.047147004,3.588520577
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,728,COUNTRY,PUBLISHED,Maternal mortality ratio,South Sudan,691.8202948,399.56586,1253.690874
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,729,COUNTRY,PUBLISHED,Maternal mortality ratio,Sudan,255.706196,159.0267875,415.487074
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,740,COUNTRY,PUBLISHED,Maternal mortality ratio,Suriname,83.64145987,53.91862891,120.5528599
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,748,COUNTRY,PUBLISHED,Maternal mortality ratio,Eswatini,117.9301557,72.36378407,208.77184
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,752,COUNTRY,PUBLISHED,Maternal mortality ratio,Sweden,4.028097917,3.165689346,5.737596054
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,756,COUNTRY,PUBLISHED,Maternal mortality ratio,Switzerland,5.461365683,4.03042535,8.432125801
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,760,COUNTRY,PUBLISHED,Maternal mortality ratio,Syrian Arab Republic,20.37147323,10.98018956,37.68595247
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,762,COUNTRY,PUBLISHED,Maternal mortality ratio,Tajikistan,13.86165794,7.596136163,24.81936724
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,764,COUNTRY,PUBLISHED,Maternal mortality ratio,Thailand,34.45034586,25.8633139,48.69973922
